HDR,ROLLING SYSTEM DEMAND
VD,20220118220000,34216
VD,20220118220500,33817
VD,20220118221000,33520
VD,20220118221500,33043
VD,20220118222000,32786
VD,20220118222500,32377
VD,20220118223000,31816
VD,20220118223500,31716
VD,20220118224000,31450
VD,20220118224500,31139
VD,20220118225000,30784
VD,20220118225500,30474
VD,20220118230000,30129
VD,20220118230500,30137
VD,20220118231000,29802
VD,20220118231500,29397
VD,20220118232000,29022
VD,20220118232500,28701
VD,20220118233000,28510
VD,20220118233500,28298
VD,20220118234000,28149
VD,20220118234500,27940
VD,20220118235000,27770
VD,20220118235500,27624
VD,20220119000000,27678
VD,20220119000500,28104
VD,20220119001000,28334
VD,20220119001500,28228
VD,20220119002000,28091
VD,20220119002500,28003
VD,20220119003000,27983
VD,20220119003500,28226
VD,20220119004000,28405
VD,20220119004500,28483
VD,20220119005000,28530
VD,20220119005500,28491
VD,20220119010000,28546
VD,20220119010500,28752
VD,20220119011000,28957
VD,20220119011500,29020
VD,20220119012000,29157
VD,20220119012500,29303
VD,20220119013000,29334
VD,20220119013500,29196
VD,20220119014000,28912
VD,20220119014500,28797
VD,20220119015000,28696
VD,20220119015500,28545
VD,20220119020000,28374
VD,20220119020500,28415
VD,20220119021000,28567
VD,20220119021500,28625
VD,20220119022000,28611
VD,20220119022500,28477
VD,20220119023000,28381
VD,20220119023500,28357
VD,20220119024000,28334
VD,20220119024500,28294
VD,20220119025000,28180
VD,20220119025500,28134
VD,20220119030000,28049
VD,20220119030500,28025
VD,20220119031000,28077
VD,20220119031500,28132
VD,20220119032000,28148
VD,20220119032500,28045
VD,20220119033000,27865
VD,20220119033500,27919
VD,20220119034000,27905
VD,20220119034500,27735
VD,20220119035000,27557
VD,20220119035500,27593
VD,20220119040000,27702
VD,20220119040500,27427
VD,20220119041000,27754
VD,20220119041500,27840
VD,20220119042000,27814
VD,20220119042500,27739
VD,20220119043000,27719
VD,20220119043500,27731
VD,20220119044000,27722
VD,20220119044500,27591
VD,20220119045000,27343
VD,20220119045500,27273
VD,20220119050000,27295
VD,20220119050500,27577
VD,20220119051000,27774
VD,20220119051500,27926
VD,20220119052000,28068
VD,20220119052500,28297
VD,20220119053000,28469
VD,20220119053500,28762
VD,20220119054000,28995
VD,20220119054500,29094
VD,20220119055000,29164
VD,20220119055500,29391
VD,20220119060000,29575
VD,20220119060500,30069
VD,20220119061000,30928
VD,20220119061500,31449
VD,20220119062000,31735
VD,20220119062500,32113
VD,20220119063000,32471
VD,20220119063500,33080
VD,20220119064000,33784
VD,20220119064500,34349
VD,20220119065000,35015
VD,20220119065500,35365
VD,20220119070000,35212
VD,20220119070500,35782
VD,20220119071000,36587
VD,20220119071500,37027
VD,20220119072000,37424
VD,20220119072500,37893
VD,20220119073000,38266
VD,20220119073500,38460
VD,20220119074000,38710
VD,20220119074500,39061
VD,20220119075000,39340
VD,20220119075500,39620
VD,20220119080000,39646
VD,20220119080500,39637
VD,20220119081000,40086
VD,20220119081500,40233
VD,20220119082000,40386
VD,20220119082500,40485
VD,20220119083000,40522
VD,20220119083500,40607
VD,20220119084000,40556
VD,20220119084500,40478
VD,20220119085000,40589
VD,20220119085500,40692
VD,20220119090000,40866
VD,20220119090500,41211
VD,20220119091000,41247
VD,20220119091500,41235
VD,20220119092000,41174
VD,20220119092500,41207
VD,20220119093000,41165
VD,20220119093500,41131
VD,20220119094000,41085
VD,20220119094500,41044
VD,20220119095000,39724
VD,20220119095500,40943
VD,20220119100000,41017
VD,20220119100500,40771
VD,20220119101000,40706
VD,20220119101500,40621
VD,20220119102000,40524
VD,20220119102500,40348
VD,20220119103000,40312
VD,20220119103500,40260
VD,20220119104000,40144
VD,20220119104500,40040
VD,20220119105000,40038
VD,20220119105500,39952
VD,20220119110000,39920
VD,20220119110500,40105
VD,20220119111000,40193
VD,20220119111500,40179
VD,20220119112000,40117
VD,20220119112500,40036
VD,20220119113000,39979
VD,20220119113500,39874
VD,20220119114000,39886
VD,20220119114500,39784
VD,20220119115000,39748
VD,20220119115500,39649
VD,20220119120000,39523
VD,20220119120500,39492
VD,20220119121000,39618
VD,20220119121500,39531
VD,20220119122000,39341
VD,20220119122500,39445
VD,20220119123000,39420
VD,20220119123500,39317
VD,20220119124000,39150
VD,20220119124500,39150
VD,20220119125000,39253
VD,20220119125500,39320
VD,20220119130000,39331
VD,20220119130500,39398
VD,20220119131000,39481
VD,20220119131500,39587
VD,20220119132000,39701
VD,20220119132500,39630
VD,20220119133000,39526
VD,20220119133500,39450
VD,20220119134000,39442
VD,20220119134500,39449
VD,20220119135000,39488
VD,20220119135500,39404
VD,20220119140000,39340
VD,20220119140500,39245
VD,20220119141000,39302
VD,20220119141500,39230
VD,20220119142000,39179
VD,20220119142500,39225
VD,20220119143000,39279
VD,20220119143500,39369
VD,20220119144000,39469
VD,20220119144500,39553
VD,20220119145000,39652
VD,20220119145500,39505
VD,20220119150000,39248
VD,20220119150500,39478
VD,20220119151000,40020
VD,20220119151500,39969
VD,20220119152000,40135
VD,20220119152500,40314
VD,20220119153000,40491
VD,20220119153500,40698
VD,20220119154000,40973
VD,20220119154500,41363
VD,20220119155000,41637
VD,20220119155500,41826
VD,20220119160000,42047
VD,20220119160500,41924
VD,20220119161000,41872
VD,20220119161500,42093
VD,20220119162000,42402
VD,20220119162500,42673
VD,20220119163000,42861
VD,20220119163500,43176
VD,20220119164000,43380
VD,20220119164500,43676
VD,20220119165000,44077
VD,20220119165500,44246
VD,20220119170000,44297
VD,20220119170500,43919
VD,20220119171000,43944
VD,20220119171500,44013
VD,20220119172000,44299
VD,20220119172500,44367
VD,20220119173000,44423
VD,20220119173500,44465
VD,20220119174000,44575
VD,20220119174500,44630
VD,20220119175000,44532
VD,20220119175500,44300
VD,20220119180000,44170
VD,20220119180500,44373
VD,20220119181000,44316
VD,20220119181500,44184
VD,20220119182000,44118
VD,20220119182500,44021
VD,20220119183000,43860
VD,20220119183500,43955
VD,20220119184000,43923
VD,20220119184500,43869
VD,20220119185000,43698
VD,20220119185500,43325
